Date,Page,Visits,UserType
2025-12-19,Products,147,Returning
2025-12-19,Contact,444,New
2025-12-20,Home,289,Returning
2025-12-20,About,146,New
2025-12-20,Products,173,New
2025-12-20,Contact,375,Returning
2025-12-21,Home,398,New
2025-12-21,About,197,Returning
2025-12-21,Products,492,Returning
2025-12-21,Contact,452,Returning
2025-12-22,Home,196,Returning
2025-12-22,About,401,New
2025-12-22,Products,357,New
2025-12-22,Contact,466,Returning
2025-12-23,Home,177,New
2025-12-23,About,387,Returning
2025-12-23,Products,178,New
2025-12-23,Contact,490,New
2025-12-24,Home,483,New
2025-12-24,About,464,Returning
2025-12-24,Products,347,New
2025-12-24,Contact,312,Returning
2025-12-25,Home,193,Returning
2025-12-25,About,161,New
2025-12-25,Products,109,New
2025-12-25,Contact,51,New
2025-12-26,Home,353,Returning
2025-12-26,About,189,New
2025-12-26,Products,86,Returning
2025-12-26,Contact,58,New
2025-12-27,Home,148,New
2025-12-27,About,353,Returning
2025-12-27,Products,180,Returning
2025-12-27,Contact,201,Returning
2025-12-28,Home,169,New
2025-12-28,About,457,Returning
2025-12-28,Products,124,New
2025-12-28,Contact,469,Returning
2025-12-29,Home,153,Returning
2025-12-29,About,303,New
2025-12-29,Products,161,Returning
2025-12-29,Contact,148,New
2025-12-30,Home,398,Returning
2025-12-30,About,433,Returning
2025-12-30,Products,387,Returning
2025-12-30,Contact,359,New
2025-12-31,Home,257,New
2025-12-31,About,218,Returning
2025-12-31,Products,210,Returning
2025-12-31,Contact,338,Returning
